team,number,name
太陽隊,2,吳昱杰
太陽隊,4,林宥廷
太陽隊,7,劉翰軒
太陽隊,8,詹魁馨
太陽隊,9,歐柏廷
太陽隊,12,李道明
太陽隊,13,方日脩
太陽隊,18,周聖錡
太陽隊,21,陳信宇
太陽隊,24,陳志華
太陽隊,25,陳岱廷
太陽隊,27,吳育奇
太陽隊,28,侯詠章
太陽隊,31,郭泓礽
太陽隊,34,蘇俊龍
太陽隊,37,洪孟漢
太陽隊,38,施泓名
太陽隊,42,尤柏仁
太陽隊,5,張仁瀚
太陽隊,47,陳隆翔
太陽隊,48,張靖威
太陽隊,51,吳奇
太陽隊,54,邱煒程
太陽隊,55,施睿哲
太陽隊,66,施尚甫
太陽隊,88,蔡晏行
太陽隊,94,黃政鋼
太陽隊,97,蔡翔宇
盛億鑫騎士,2,黃朗恩
盛億鑫騎士,3,李崇志
盛億鑫騎士,4,蔡佳峻
盛億鑫騎士,7,黃弘毅
盛億鑫騎士,8,黃朝淇
盛億鑫騎士,19,林盈州
盛億鑫騎士,21,林建合
盛億鑫騎士,22,杜胤慧
盛億鑫騎士,23,杜昱軒
盛億鑫騎士,24,吳昕烜
盛億鑫騎士,26,郭哲洋
盛億鑫騎士,27,鄭宇軒
盛億鑫騎士,28,郭柏緯
盛億鑫騎士,29,周利昇
盛億鑫騎士,30,郭孟澄
盛億鑫騎士,31,黃志斌
盛億鑫騎士,33,邱銘信
盛億鑫騎士,36,施博允
盛億鑫騎士,46,林承澤
盛億鑫騎士,52,黃志賢
盛億鑫騎士,56,曾柏瑋
盛億鑫騎士,60,王健豪
盛億鑫騎士,77,陳信豪
盛億鑫騎士,80,羅少鈞
盛億鑫騎士,86,邱新祐
盛億鑫騎士,88,高偉喬
盛億鑫騎士,91,王柏鈞
盛億鑫騎士,97,洪立昇
武聖,3,蔡耀生
武聖,4,謝承恩
武聖,5,王晉廷
武聖,7,柯尊偉
武聖,9,王志瑋
武聖,11,嚴楷喆
武聖,12,吳宇堅
武聖,13,陳建章
武聖,15,龔俊維
武聖,17,李育仁
武聖,19,陳彥樺
武聖,31,戎德勳
武聖,37,邱煥為
武聖,51,吳穎智
武聖,53,陳柄頜
武聖,55,莊柏辰
武聖,63,蔣杰男
武聖,66,楊燿禎
武聖,76,陳庭綸
武聖,77,李宗叡
武聖,80,康國宏
武聖,96,陳孟洋
武聖,99,吳子靖
台揚,0,侯智偉
台揚,3,王健宇
台揚,4,林家漢
台揚,5,陳建銘
台揚,6,楊宗文
台揚,7,吳永慶
台揚,10,黃宏偉
台揚,11,蘇軒呈
台揚,13,鄭力僑
台揚,16,張嘉原
台揚,19,呂承諺
台揚,23,洪定捷
台揚,24,王志仁
台揚,28,林育丞
台揚,33,許倉祥
台揚,39,郭聰銘
台揚,49,劉庭安
台揚,52,許俊男
台揚,53,謝振翔
台揚,55,張聖賢
台揚,66,黃鈺翔
嘉文模板,1,王建民
嘉文模板,2,陳吉昌
嘉文模板,3,潘成鴻
嘉文模板,5,許彥文
嘉文模板,6,宋起泰
嘉文模板,8,陳昱成
嘉文模板,9,黃緯麟
嘉文模板,10,邱俊霖
嘉文模板,11,李銘都
嘉文模板,18,朱宏原
嘉文模板,20,陳揚
嘉文模板,23,程加勳
嘉文模板,25,陳志良
嘉文模板,28,許展維
嘉文模板,29,陳智偉
嘉文模板,33,張宗凱
嘉文模板,37,黃昱翔
嘉文模板,39,黃建昇
嘉文模板,50,秦宇懷
嘉文模板,51,陳俊宇
嘉文模板,55,王易騰
嘉文模板,56,黃靖幃
嘉文模板,57,王逸誠
嘉文模板,58,王昱博
嘉文模板,65,林昱諺
嘉文模板,69,陳允衡
嘉文模板,91,曾羽汶
嘉文模板,99,李柏廷
惠田企業,1,王振宗
惠田企業,2,王嘉踚
惠田企業,5,林佑謙
惠田企業,6,辜霆允
惠田企業,7,馮宗勝
惠田企業,9,方澤旻
惠田企業,10,辜煌清
惠田企業,11,陳祥盛
惠田企業,14,佘威縉
惠田企業,15,盧昱辰
惠田企業,16,郭建廷
惠田企業,17,朱廣欽
惠田企業,22,鄭哲安
惠田企業,23,林琮宸
惠田企業,24,曾聖諺
惠田企業,29,呂信宏
惠田企業,32,李瑋勝
惠田企業,33,歐哲閎
惠田企業,43,洪羚原
惠田企業,47,陳明輝
惠田企業,50,吳郡峖
惠田企業,52,曾佰宏
惠田企業,55,林俊銘
惠田企業,60,黃裕凱
惠田企業,68,宋柏霖
